1, 68
9, 63
14, 57
18, 50
20, 44
19,37
32, 24
36, 14
41, 6
51, 1
44, 8
41, 12
41, 20
44, 14
50, 8
64, 3
55, 10
51, 16
79, 7
72, 13
71, 16
75, 20
96, 22
90, 25
86, 30
88, 35
102, 38
100, 43
99, 47
102, 52
107, 53
111, 58
108, 63
109, 68
112, 70
113, 58
112, 48
109, 42
107, 38
101, 33
116, 26
108, 18
162, 9
173, 9
186, 11
196, 14
206, 19
219, 31
210, 34
205, 36
193, 46
191, 54
190, 59
194,68
184, 68
180, 71
179, 76
182, 86
173, 88
161, 95
179, 98
174, 105
174, 113
180, 118
189, 117
184, 123
183, 128
186, 131
191, 129
191, 136
199, 136
205, 131
209, 122
210, 115
207, 113
203, 92
202, 86
202, 70
206, 60
210, 53
215, 47
222, 44
226, 40
226, 36
223, 32
230, 28
242, 28
256, 31
257, 36
243, 61
240, 61
239, 54
233, 48
225, 53
221, 61
220, 70
221, 80
223, 89
229, 98
232, 109
234, 118
234, 128
230, 139
225, 148
218, 158
209, 164
201, 168
169, 169
151, 166
152, 171
109, 183
99, 182
99, 172
117, 166
117, 162
109, 160
100, 157
84, 175
44, 179
43, 170
50, 167
58, 165
67, 163
58, 162
51, 163
43, 165
42, 157
50, 150
66, 149
70, 145
70, 136
64, 133
59, 125
55, 115
54, 107
54, 95
57, 87
59, 79
63, 73
60, 67
54, 69
46, 68
34, 75
22, 83
21, 89
19, 86
11, 85
11, 90
6, 83
1, 76
